# 各种数据类型和各种范围值，含空值（暂且不含）
# time,string,string,boolean,int32,int64,float,double,boolean,int32,int64,float,double
1,tag1,tag2,true,10,10,10.01,10.01,true,10,10,10.01,10.01
2,tag1,tag2,false,2147483647,9223372036854775807,3.4028235e+38,1.7976931348623157e+308,true,10,10,10.01,10.01
3,tag1,tag2,true,-2147483648,-9223372036854775808,-3.4028235e+38,-1.7976931348623157e+308,true,10,10,10.01,10.01
4,tag1,tag2,false,123456,123456,1.1754944e-38,2.2250738585072014e-308,true,10,10,10.01,10.01
5,tag1,tag2,true,-123456,-123456,10.01,4.9406564584124654e-324,true,10,10,10.01,10.01
6,tag1,tag2,false,0,0,0.0,0.0,true,0,0,0.0,0.0
7,tag1,tag2,true,10,10,10.01,10.01,true,10,10,10.01,10.01
8,tag1,tag2,false,10,10,10.01,10.01,true,10,10,10.01,10.01
9,tag1,tag2,true,10,10,10.01,10.01,true,10,10,10.01,10.01
10,tag1,tag2,false,10,10,10.01,10.01,true,10,10,10.01,10.01
